trip_name,city,start_date,end_date
Italy 2018,Rome,9/10/2026,9/17/2026
Italy 2018,Florence,9/6/2026,9/10/2026
Italy 2018,Venice,9/1/2026,9/6/2026
Las Vegas 2017,Las Vegas,12/16/2017,12/20/2017
Europe 2017,Dublin,8/4/2017,8/8/2017
Europe 2017,Amsterdam,8/10/2017,8/15/2017
Europe 2017,Bruges,8/9/2017,8/10/2017
Europe 2017,Luxembourgh,8/8/2017,8/9/2017
France 2016,Paris,8/2/2016,8/8/2016
France 2016,Dax,8/8/2016,8/9/2016
France 2016,Carassonne,8/9/2016,8/10/2016
France 2016,Lyon,8/10/2016,8/14/2016
Europe 2016,Amsterdam,8/14/2016,8/16/2016
Europe 2016,Brussels,8/16/2016,8/18/2016
Europe 2016,London,8/18/2016,8/21/2016
San Diego 2019,San Diego,10/1/2019,10/5/2019
Chicago 2019,Chicago,6/7/2019,6/9/2019
St. Petersburg 2019,St. Petersburg,8/12/2019,8/15/2019
Orlando 2018,Orlando,10/31/2019,10/31/2019
Aruba 2015,Aruba,1/3/2014,1/7/2014
Washington DC 2011,Washington DC,11/13/2011,11/17/2011
Mexico 2008,Puerto Vallarta,2/3/2008,2/8/2008
